panel,tenure,supersector,ref_date,emp_active_prior,emp_active_current,emp_qualified_prior,emp_qualified_current,emp_active_diff,emp_qualified_diff,emp_active_growth,emp_qualified_growth,emp_active_index,emp_qualified_index
0,1,80,2021-01-12,61266.0,60512.0,42131.0,41711.0,-754.0,-420.0,-0.012306989194659354,-0.009968906505898269,114.32829840597174,105.58133923821143
0,1,80,2021-02-12,65154.0,65711.0,45431.0,46952.0,557.0,1521.0,0.008548976271602664,0.03347934229931104,115.3056883162171,109.11613303498714
0,1,80,2021-03-12,66889.0,68590.0,48119.0,49169.0,1701.0,1050.0,0.02543019031529848,0.021820902346266546,118.23793391453499,111.49714551834585
0,1,80,2021-04-12,69906.0,71282.0,50144.0,51076.0,1376.0,932.0,0.019683575086544787,0.01858647096362476,120.56527916481966,113.56948397604964
0,1,80,2021-05-12,73776.0,74940.0,52866.0,53908.0,1164.0,1042.0,0.015777488614183474,0.019710210721446676,122.46749648410847,115.80796243674354
0,1,80,2021-06-12,76288.0,78886.0,55002.0,55821.0,2598.0,819.0,0.03405515939597315,0.014890367622995528,126.63814659770057,117.53238557109668
0,1,80,2021-07-12,80038.0,81103.0,56679.0,57173.0,1065.0,494.0,0.013306179564706764,0.008715750101448509,128.32321651607123,118.55676847256147
0,1,80,2021-08-12,83641.0,84961.0,59061.0,59368.0,1320.0,307.0,0.015781733838667638,0.00519801561097848,130.34837936444958,119.173028405869
0,1,80,2021-09-12,86207.0,86431.0,60340.0,61256.0,224.0,916.0,0.0025983968819237417,0.0151806430228704,130.68707618695396,120.9821516080529
0,1,80,2021-10-12,87559.0,88686.0,62038.0,62693.0,1127.0,655.0,0.01287132105209059,0.010558045069151166,132.36919150191525,122.25948661729362
0,1,80,2021-11-12,90546.0,90815.0,64611.0,64966.0,269.0,355.0,0.0029708656373555985,0.0054944204547213325,132.76244258439286,122.93123164134741
0,1,80,2021-12-12,91362.0,91741.0,65708.0,65370.0,379.0,-338.0,0.0041483330049692435,-0.005143970292810616,133.313185406786,122.2988770377257
0,1,80,2022-01-12,92454.0,91863.0,65844.0,64466.0,-591.0,-1378.0,-0.006392368096566942,-0.02092825466253569,132.46099845353996,119.73937499413803
0,1,80,2022-02-12,99411.0,100536.0,70848.0,72562.0,1125.0,1714.0,0.011316655098530344,0.02419263775971093,133.96001388704565,122.63618631894542
0,1,80,2022-03-12,101790.0,104672.0,73935.0,75100.0,2882.0,1165.0,0.02831319383043521,0.015757083925069318,137.7528497257574,124.56857499902347
0,1,80,2022-04-12,106292.0,107377.0,76341.0,77105.0,1085.0,764.0,0.01020772965039702,0.010007728481418897,139.1589935743297,125.81522347493097
0,1,80,2022-05-12,109845.0,111822.0,79381.0,80052.0,1977.0,671.0,0.017998088215212343,0.008452904347387914,141.66358941662065,126.87872752440983
0,1,80,2022-06-12,113189.0,115528.0,81377.0,81520.0,2339.0,143.0,0.02066455220913693,0.00175725327795323,144.59100405625415,127.10168558425462
0,1,80,2022-07-12,116670.0,117082.0,82514.0,82425.0,412.0,-89.0,0.0035313276763521044,-0.0010786048428145527,145.10160227062954,126.96459309065355
0,1,80,2022-08-12,119485.0,120769.0,84560.0,84665.0,1284.0,105.0,0.010746118759676947,0.0012417218543046358,146.66088132084911,127.12224780061712
0,1,80,2022-09-12,121500.0,121560.0,85476.0,86109.0,60.0,633.0,0.0004938271604938272,0.007405587533342693,146.7333064474273,128.06366273413988
0,1,80,2022-10-12,123513.0,123536.0,87503.0,87838.0,23.0,335.0,0.00018621521621205864,0.0038284401677656766,146.76063042181292,128.5539468045825
0,1,80,2022-11-12,125053.0,125404.0,89427.0,89346.0,351.0,-81.0,0.0028068099125970586,-0.0009057667147505787,147.17255961405985,128.43750691851707
0,1,80,2022-12-12,125748.0,124629.0,89882.0,88596.0,-1119.0,-1286.0,-0.008898749880713808,-0.014307647804899758,145.8629078167499,126.59986830458756
0,1,80,2023-01-12,125563.0,123490.0,89266.0,87348.0,-2073.0,-1918.0,-0.016509640578832935,-0.021486344184796002,143.45476363491193,123.87969996044535
0,1,80,2023-02-12,129974.0,130815.0,93556.0,94157.0,841.0,601.0,0.006470524874205611,0.006423959981187738,144.3829912513349,124.67549819547277
0,1,80,2023-03-12,132302.0,134853.0,95778.0,96523.0,2551.0,745.0,0.019281643512569727,0.00777840422644031,147.16693261792162,125.64527461757
0,1,80,2023-04-12,137002.0,136373.0,98120.0,98377.0,-629.0,257.0,-0.004591173851476621,0.002619241744802283,146.4912636450842,125.97436996588549
0,1,80,2023-05-12,138157.0,140895.0,100322.0,100916.0,2738.0,594.0,0.019818033107262028,0.005920934590618209,149.39443235792712,126.72025597054784
0,1,80,2023-06-12,142126.0,144276.0,102201.0,102042.0,2150.0,-159.0,0.015127422146546023,-0.0015557577714503772,151.65438500254908,126.52310994752148
0,1,80,2023-07-12,146585.0,145706.0,103998.0,103350.0,-879.0,-648.0,-0.005996520789985332,-0.006230889055558761,150.74498632998888,125.73475848647419
0,1,80,2023-08-12,147187.0,149127.0,105164.0,105241.0,1940.0,77.0,0.013180511865857718,0.0007321897227188011,152.73188241102983,125.82682018442652
0,1,80,2023-09-12,149887.0,149574.0,106207.0,107245.0,-313.0,1038.0,-0.0020882398073215156,0.009773367103863211,152.412941614332,127.05657188960072
0,1,80,2023-10-12,151462.0,151940.0,108700.0,108718.0,478.0,18.0,0.0031559070922079465,0.0001655933762649494,152.89394269771694,127.07761161631655
0,1,80,2023-11-12,153556.0,153818.0,110540.0,110234.0,262.0,-306.0,0.0017062179270103414,-0.0027682286954948433,153.15481308367907,126.7258317252853
0,1,80,2023-12-12,154816.0,153681.0,111532.0,110661.0,-1135.0,-871.0,-0.007331283588259611,-0.007809417924900477,152.03199171605573,125.73617674346194
0,1,80,2024-01-12,154289.0,153553.0,111063.0,108823.0,-736.0,-2240.0,-0.00477026878131299,-0.020168733061415593,151.30675825221178,123.20023735856007
0,1,80,2024-02-12,161719.0,163067.0,116642.0,118623.0,1348.0,1981.0,0.008335446051484365,0.016983590816344027,152.5679675728481,125.29261977833433
0,1,80,2024-03-12,164878.0,166688.0,120578.0,121674.0,1810.0,1096.0,0.010977813898761509,0.009089551991242183,154.2428303277751,126.43147355992843
0,1,80,2024-04-12,168282.0,169286.0,122877.0,122805.0,1004.0,-72.0,0.0059661758239146195,-0.0005859518054640005,155.16307017308884,126.35739080972851
0,1,80,2024-05-12,171152.0,174257.0,124884.0,125614.0,3105.0,730.0,0.018141768720201925,0.005845424553986099,157.97800270608548,127.09600340454531
0,1,80,2024-06-12,175968.0,177724.0,126926.0,126861.0,1756.0,-65.0,0.009979087106746682,-0.0005121094180861289,159.55447895603936,127.03091634420073
0,1,80,2024-07-12,179379.0,180496.0,128105.0,126939.0,1117.0,-1166.0,0.00622703883955201,-0.009101908590609265,160.5480308935231,125.87469255545452
0,1,80,2024-08-12,182767.0,183270.0,129317.0,129876.0,503.0,559.0,0.0027521379680139194,0.004322710857814518,160.98988122503505,126.41881245568804
0,1,80,2024-09-12,185344.0,184242.0,131579.0,133679.0,-1102.0,2100.0,-0.0059457009668508285,0.015959993616002553,160.03268353258213,128.43645589542345
0,1,80,2024-10-12,185878.0,188159.0,135017.0,134918.0,2281.0,-99.0,0.012271489901978717,-0.0007332409992815719,161.99652299253876,128.3422810201585
0,1,80,2024-11-12,190656.0,189751.0,136893.0,136009.0,-905.0,-884.0,-0.004746769050016784,-0.006457598270181821,161.22756291098744,127.51349812825154
0,1,80,2024-12-12,191214.0,186228.0,137453.0,134488.0,-4986.0,-2965.0,-0.026075496564059115,-0.021571009726961216,157.0234741482704,124.76290321980818
0,1,80,2025-01-12,187430.0,185014.0,135321.0,132032.0,-2416.0,-3289.0,-0.012890145654377634,-0.02430517066826287,154.99941869534277,121.73051956398278
0,1,80,2025-02-12,194362.0,194086.0,140663.0,141739.0,-276.0,1076.0,-0.00142003066443029,0.007649488493775904,154.7793147678265,122.66169577272883
0,1,80,2025-03-12,195410.0,197128.0,143611.0,144699.0,1718.0,1088.0,0.008791771147842997,0.007576021335413025,156.14009908168518,123.59098339694097
0,1,80,2025-04-12,198759.0,200732.0,146292.0,146198.0,1973.0,-94.0,0.009926594518990335,-0.0006425505154075411,157.69003853342406,123.51156994685952
0,1,80,2025-05-12,204602.0,206828.0,149548.0,150387.0,2226.0,839.0,0.010879659045366126,0.005610238853077273,159.40565238751836,124.20449935537997
